Fuzz Attempt Nr.,Date and Time,Iteration Nr.,Exit Code,Output Messages,Action Sequence,Map File Name,Map File Type,Map File Custom Attribute,Absolute Map File Path,Relative Map File Path
2,23-06-2023 21:54,139,10,More than one player,SWE,map_139.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_139.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_139.txt
2,23-06-2023 21:54,140,10,More than one player,SWE,map_140.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_140.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_140.txt
2,23-06-2023 21:54,141,10,More than one player,SWE,map_141.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_141.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_141.txt
2,23-06-2023 21:54,142,10,More than one player,SWE,map_142.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_142.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_142.txt
2,23-06-2023 21:54,143,10,More than one player,SWE,map_143.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_143.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_143.txt
2,23-06-2023 21:54,144,10,More than one player,SWE,map_144.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_144.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_144.txt
2,23-06-2023 21:54,145,10,More than one player,SWE,map_145.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_145.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_145.txt
2,23-06-2023 21:54,146,10,More than one player,SWE,map_146.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_146.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_146.txt
2,23-06-2023 21:54,147,10,More than one player,SWE,map_147.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_147.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_147.txt
2,23-06-2023 21:54,148,10,More than one player,SWE,map_148.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_148.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_148.txt
2,23-06-2023 21:54,149,10,More than one player,SWE,map_149.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_149.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_149.txt
2,23-06-2023 21:54,150,10,More than one player,SWE,map_150.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_150.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_150.txt
2,23-06-2023 21:54,151,10,More than one player,SWE,map_151.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_151.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_151.txt
